subjectID,condition,accuracy,reliability,understanding
1,without-explanation,1.75,1,2
2,without-explanation,1.5,1,-1
3,without-explanation,0,0,-2
4,without-explanation,2,2,0
5,without-explanation,1,2,-1
6,without-explanation,3,3,3
7,without-explanation,2.5,2,2
8,without-explanation,2.5,2,3
9,without-explanation,2.75,2,2
10,without-explanation,0.25,1,0
11,without-explanation,2.5,2,0
12,without-explanation,1.75,2,2
13,without-explanation,1.25,0,0
14,without-explanation,1.75,1,3
15,without-explanation,-1.25,-1,2
16,without-explanation,0.75,2,2
17,without-explanation,1.25,2,0
18,without-explanation,2.75,2,2
19,without-explanation,2,2,-1
20,without-explanation,0.5,0,1
21,without-explanation,3,3,3
22,without-explanation,1.5,2,2
23,without-explanation,2.25,1,-1
24,without-explanation,2.25,2,0
25,without-explanation,1,1,2
26,without-explanation,2,0,1
27,without-explanation,2.25,1,1
28,without-explanation,-0.5,1,0
29,without-explanation,2,0,1
30,without-explanation,2.75,2,1
31,with-citation,-3,-1,-1
32,with-citation,0.75,3,3
33,with-citation,-3,1,2
34,with-citation,-3,2,1
35,with-citation,-1.75,2,3
36,with-citation,-1.25,2,2
37,with-citation,-2.5,1,3
38,with-citation,-1.5,2,3
39,with-citation,-3,-2,-2
40,with-citation,-1.75,1,3
41,with-citation,-3,1,3
42,with-citation,-3,-2,2
43,with-citation,-1,2,3
44,with-citation,-1.5,2,2
45,with-citation,-2.75,-1,-1
46,with-citation,1.25,2,2
47,with-citation,-2.75,2,2
48,with-citation,-3,-2,3
49,with-citation,-2.75,-3,-2
50,with-citation,-3,0,3
51,with-citation,-2.5,-1,2
52,with-citation,-1.75,1,3
53,with-citation,-2.75,3,-3
54,with-citation,-2.25,1,3
55,with-citation,0,2,0
56,with-citation,-2.5,1,3
57,with-citation,-3,0,3
58,with-citation,-3,1,3
59,with-citation,-2.75,1,2
60,with-citation,-3,2,3
61,with-code,0,2,3
62,with-code,0.5,2,3
63,with-code,2.75,3,-1
64,with-code,0.5,2,2
65,with-code,-0.75,-1,2
66,with-code,-0.5,2,2
67,with-code,0.25,2,2
68,with-code,0.5,2,2
69,with-code,-1,2,2
70,with-code,-2.25,1,2
71,with-code,0.25,1,3
72,with-code,-0.75,2,0
73,with-code,-1.25,2,2
74,with-code,-0.75,1,2
75,with-code,-0.75,2,2
76,with-code,-1,1,3
77,with-code,0.75,2,1
78,with-code,-1,1,2
79,with-code,3,3,3
80,with-code,-1.25,2,1
81,with-code,0.25,3,3
82,with-code,-0.25,2,3
83,with-code,2.75,3,3
84,with-code,-1.25,2,1
85,with-code,1,2,2
86,with-code,2.25,2,2
87,with-code,-0.75,1,2
88,with-code,-0.5,2,1
89,with-code,0.25,2,0
90,with-code,-0.25,1,2
